 ,3,4,5,8,10,20,50,100,200
1,0.000029125,0.000019958,0.000023250,0.000050125,0.000086458,0.000454750,0.005748541,0.042740833,0.321652292
2,0.000015917,0.000018084,0.000023500,0.000053167,0.000084125,0.000452667,0.005607916,0.042834125,0.322607250
3,0.000012875,0.000016875,0.000023583,0.000057208,0.000083791,0.000497500,0.005621459,0.042467584,0.320839541
4,0.000011459,0.000016375,0.000023125,0.000052000,0.000082791,0.000451583,0.005608834,0.042575875,0.325928458
5,0.000011250,0.000016750,0.000022541,0.000052916,0.000083084,0.000451667,0.005547292,0.042401458,0.326885167
6,0.000010541,0.000014625,0.000021041,0.000052333,0.000083084,0.000450667,0.005531666,0.042304167,0.323904458
7,0.000010500,0.000014583,0.000020458,0.000054834,0.000082750,0.000473625,0.005509708,0.042262542,0.326824750
8,0.000010250,0.000015708,0.000022083,0.000049792,0.000088875,0.000448584,0.005641292,0.042257833,0.324402541
9,0.000010333,0.000016000,0.000023083,0.000051625,0.000083000,0.000448875,0.005605666,0.043242333,0.322111083
10,0.000010292,0.000015584,0.000022416,0.000054792,0.000082666,0.000448459,0.005453375,0.042294375,0.326011208
 
1,0.000035125,0.000027916,0.000032250,0.000075167,0.000115875,0.000700958,0.005972708,0.055475167,0.956718958
2,0.000020292,0.000027291,0.000036917,0.000076417,0.000117167,0.000706833,0.006142583,0.055056167,0.960852708
3,0.000016834,0.000025041,0.000035208,0.000082416,0.000114667,0.000705709,0.006068041,0.054501250,0.943656625
4,0.000017792,0.000036292,0.000035417,0.000074959,0.000116083,0.000697375,0.006039042,0.055883750,0.950285708
5,0.000015291,0.000025042,0.000037417,0.000082542,0.000113458,0.000702375,0.006095166,0.056195042,0.945175542
6,0.000015500,0.000023167,0.000031083,0.000077125,0.000115042,0.000706541,0.006083750,0.055985000,0.945545291
7,0.000014500,0.000022000,0.000033833,0.000079834,0.000115084,0.000694000,0.006018000,0.055851542,0.937213250
8,0.000014875,0.000025084,0.000034875,0.000074458,0.000128333,0.000706916,0.006118959,0.056036583,0.936925125
9,0.000016875,0.000024958,0.000036209,0.000073667,0.000115959,0.000696417,0.005986875,0.055468084,0.942160833
10,0.000015542,0.000024166,0.000035416,0.000086667,0.000114208,0.000702625,0.006051083,0.055860042,0.944624625
